Sector name,Direct emission coefficient (B),Supply chain induced coefficient (B*L),Indirect induced amount (BL-B),Scope2,Scope3
"Electricity, gas, and steam supply",2.1301566883392296,2.6740733594434247,0.5439166711041952,0.502753195634221,0.04116347546997412
Non-metallic mineral products,0.9331886518424369,1.4498357545101452,0.5166471026677083,0.19334388386004378,0.32330321880766455
Basic metal products,0.7338854703950833,1.2583722158142527,0.5244867454191694,0.2640404363383299,0.2604463090808395
"Water supply, sewage and waste treatment and disposal services",0.4632338408374608,0.6758548440824983,0.21262100324503752,0.07550004236540818,0.13712096087962933
Transportation,0.4977472109169585,0.6568228993754265,0.15907568845846798,0.0629492761678546,0.09612641229061338
Mined and quarried goods,0.28212144791810395,0.6420413660016011,0.35991991808349716,0.17212189836144617,0.18779801972205099
Petroleum and coal products,0.4022360235041811,0.6311019083380167,0.22886588483383563,0.150484552233963,0.07838133259987262
Chemical products,0.2921418947199999,0.6148400587431614,0.3226981640231615,0.1443607717177602,0.17833739230540127
"Agricultural, forest, and fishery goods",0.39999023265478645,0.6024958352738851,0.2025056026190986,0.08318142812757641,0.1193241744915222
"Fabricated metal products, except machinery and furniture",0.003727164252892701,0.4189359053085827,0.41520874105569,0.12220652337963389,0.2930022176760561
"Wood and paper products, printing and reproduction of recorded media",0.059154486673937634,0.36589032352164064,0.306735836847703,0.16352835504360247,0.14320748180410053
Other manufactured products,0.12695633204786513,0.358382304582997,0.2314259725351319,0.069949619235449,0.1614763532996829
"Food, beverages and tobacco products",0.013978943799183316,0.2974351789074498,0.2834562351082665,0.0892959062693672,0.1941603288388993
Transport equipment,0.007996692685641715,0.2877326408383864,0.27973594815274466,0.09828605303454775,0.18144989511819692
Construction,0.006548955888214701,0.28238972834487563,0.27584077245666094,0.06202091693333944,0.2138198555233215
Machinery and equipment,0.034903120131238474,0.2599907317331325,0.225087611601894,0.07315047795849296,0.15193713364340106
Textile and leather products,0.06297160571519893,0.2591571544832608,0.19618554876806188,0.08394562797204291,0.11223992079601897
Electrical equipment,0.0008704582526230862,0.24497619773266044,0.24410573948003736,0.07637897844823997,0.1677267610317974
Food services and accommodation,0.012142275480125921,0.20734195114348639,0.19519967566336047,0.06072346525856107,0.1344762104047994
Manufacturing services and repair services of industrial equipment,0.021507946070351346,0.1738316624645858,0.15232371639423448,0.05652718809580619,0.09579652829842829
"Computing machinery, electronic equipment and optical instruments",0.019814484775039484,0.1616839869563302,0.14186950218129074,0.08489356709896638,0.05697593508232436
Other services,0.006354647775167456,0.15562161738599253,0.14926696961082508,0.05839918416981602,0.09086778544100907
Wholesale and retail trade and commodity brokerage services,0.004150675370055546,0.12522680061919944,0.12107612524914389,0.04177973436770378,0.07929639088144011
Health and social care services,0.008688065887857884,0.12446445001573074,0.11577638412787286,0.04426930463696057,0.07150707949091228
"Professional, scientific, and technical services",0.006013743282536337,0.12128228569499414,0.11526854241245779,0.0608616406316368,0.05440690178082099
"Art, sports, and leisure services",0.006660848165006476,0.12088667335123258,0.11422582518622611,0.05557561443501535,0.058650210751210755
Education services,0.01568778074182315,0.11981556639423452,0.10412778565241138,0.06289808320000131,0.04122970245241006
"Public administration, defense, and social security services",0.03210776819608971,0.10109872945720828,0.06899096126111857,0.02502117446894233,0.043969786792176245
Business support services,0.001229112932922779,0.08314577983510817,0.08191666690218538,0.026897942335391088,0.0550187245667943
Communications and broadcasting,0.0005070538408826156,0.06083413999776221,0.060327086156879595,0.028375923972611582,0.03195116218426801
Real estate services,0.0009282952043249622,0.055753090061837096,0.054824794857512134,0.02479106757274187,0.030033727284770263
Finance and insurance,0.000585657112032441,0.03583872347102371,0.03525306635899127,0.018629765827213308,0.01662330053177796
