Sector name,Direct emission coefficient (B),Supply chain induced coefficient (B*L),Indirect induced amount (BL-B),Scope2,Scope3
"Electricity, gas, and steam supply",1.6989918169564089,2.1305919518628866,0.43160013490647775,0.4004383054336833,0.031161829472794444
Non-metallic mineral products,0.7906277364054037,1.2188797236847668,0.4282519872793631,0.1618649738028421,0.266387013476521
Basic metal products,0.48479757449803457,0.8237852179596475,0.338987643461613,0.17284051299712277,0.1661471304644902
"Water supply, sewage and waste treatment and disposal services",0.43117773533249776,0.6221506313712973,0.19097289603879958,0.06874643433326072,0.12222646170553886
Transportation,0.4410426080804261,0.5759169802407962,0.13487437216037007,0.05442963693512694,0.08044473522524313
"Agricultural, forest, and fishery goods",0.3655931133799934,0.5444866942498506,0.17889358086985724,0.07460010205629487,0.10429347881356237
Mined and quarried goods,0.23678828100846935,0.529272021149127,0.2924837401406576,0.14248985486946802,0.14999388527118956
Chemical products,0.2154841834449465,0.441237903389795,0.22575371994484852,0.10364008432202797,0.12211363562282056
Other manufactured products,0.11188118855735443,0.30613454589396727,0.19425335733661284,0.059347245585343926,0.1349061117512689
"Fabricated metal products, except machinery and furniture",0.0027570958403257393,0.2975835548120158,0.2948264589716901,0.08768217528706965,0.20714428368462043
"Wood and paper products, printing and reproduction of recorded media",0.04767585260861608,0.2864282143328642,0.23875236172424813,0.1295792020392092,0.10917315968503893
"Food, beverages and tobacco products",0.0123233171008443,0.25692623087309485,0.24460291377225055,0.07754134510442252,0.167061568667828
Transport equipment,0.007494564097744327,0.2558153285850921,0.24832076448734777,0.08858375294877949,0.15973701153856829
Petroleum and coal products,0.1632536244429275,0.2535862197247764,0.09033259528184892,0.06047639595391442,0.0298561993279345
Construction,0.005945560951679228,0.24816755168271046,0.24222199073103123,0.0544269077701627,0.18779508296086853
Machinery and equipment,0.03233468130406978,0.2321752969557563,0.19984061565168654,0.06573667884666202,0.13410393680502453
Textile and leather products,0.05607038103902318,0.222880030950574,0.1668096499115508,0.07285205118862494,0.09395759872292588
Electrical equipment,0.0007647985340369939,0.20560732283456162,0.20484252430052463,0.06484517018882073,0.1399973541117039
Food services and accommodation,0.010960011976204513,0.1824183914662542,0.17145837949004966,0.053720689522678375,0.11773768996737129
"Computing machinery, electronic equipment and optical instruments",0.01922439120999723,0.15262769519215333,0.1334033039821561,0.08116992254721349,0.05223338143494262
Other services,0.005946650366832849,0.13857952793001763,0.1326328775631848,0.05283357570875529,0.07979930185442949
Manufacturing services and repair services of industrial equipment,0.01738384512201008,0.13510153110918194,0.11771768598717186,0.04433023229181121,0.07338745369536065
Health and social care services,0.00849244564761914,0.11547096714953148,0.10697852150191234,0.04180697500983443,0.0651715464920779
Education services,0.015068861043698735,0.11275726586374357,0.09768840482004484,0.059836322534274004,0.03785208228577084
Wholesale and retail trade and commodity brokerage services,0.003853668094299153,0.11178842972965423,0.10793476163535508,0.03783271554361154,0.07010204609174353
"Art, sports, and leisure services",0.006266230637234466,0.11061192787409699,0.10434569723686252,0.051514065162971946,0.05283163207389057
"Professional, scientific, and technical services",0.005606340880394742,0.10913952340286379,0.10353318252246904,0.055729742618252275,0.04780343990421677
"Public administration, defense, and social security services",0.02993749712925808,0.09146470342676188,0.0615272062975038,0.022648111796302283,0.038879094501201514
Business support services,0.0011497418298064505,0.07406914177527929,0.07291939994547283,0.024264827400788898,0.04865457254468394
Communications and broadcasting,0.0004923152084482184,0.05678242757830593,0.05629011236985771,0.026927074778865735,0.029363037590991976
Real estate services,0.0009102861979007,0.05322034133367647,0.052310055135775774,0.023956460362833186,0.028353594772942588
Finance and insurance,0.000585183363925552,0.03473053654129197,0.034145353177366417,0.018321969914991087,0.01582338326237533
