Sector name,Direct emission coefficient (B),Supply chain induced coefficient (B*L),Indirect induced amount (BL-B),Scope2,Scope3
"Electricity, gas, and steam supply",2.33484447800273,2.803358738818324,0.4685142608155939,0.4306976577561046,0.03781660305948931
Non-metallic mineral products,0.9271009816899083,1.4429895109912332,0.5158885293013249,0.196422762361946,0.3194657669393789
Basic metal products,0.7649546995404457,1.3118175857726793,0.5468628862322336,0.25194590355474705,0.2949169826774865
"Water supply, sewage and waste treatment and disposal services",0.46801036399372514,0.6949121909101856,0.2269018269164605,0.08378537998812285,0.14311644692833764
Transportation,0.5173707102903867,0.6948315963623839,0.17746088607199717,0.06924619038326585,0.10821469568873132
Chemical products,0.3023198637460351,0.6397102117584571,0.337390348012422,0.1545050711546131,0.18288527685780892
Mined and quarried goods,0.2531266300749275,0.6271717643877615,0.374045134312834,0.18784680406383197,0.186198330249002
"Agricultural, forest, and fishery goods",0.3931549015664195,0.6064145121114438,0.2132596105450243,0.08579378698028564,0.12746582356473865
Petroleum and coal products,0.3835238073035355,0.570995153981706,0.18747134667817045,0.12591894028635747,0.061552406391812975
"Fabricated metal products, except machinery and furniture",0.004102790015844241,0.449241802472698,0.4451390124568538,0.14377363808432952,0.30136537437252425
Other manufactured products,0.15284209540916238,0.3993004719755743,0.2464583765664119,0.07811302022549918,0.16834535634091272
"Wood and paper products, printing and reproduction of recorded media",0.05139495017976506,0.37363121908199226,0.32223626890222723,0.17866734825959096,0.14356892064263627
"Food, beverages and tobacco products",0.013901331443964436,0.3080219645205418,0.2941206330765774,0.09221838745875244,0.20190224561782494
Construction,0.007070851777372689,0.30349641918116854,0.29642556740379583,0.06752468110238884,0.22890088630140698
Transport equipment,0.009046149790003432,0.30269812868912105,0.2936519788991176,0.09771756953197974,0.19593440936713785
Machinery and equipment,0.03439956211830765,0.2827349904923897,0.24833542837408207,0.08189440264654721,0.16644102572753486
Textile and leather products,0.06373519743280837,0.27915877488380536,0.215423577450997,0.09632686466855574,0.11909671278244126
Electrical equipment,0.0010885943281296144,0.2764763587292052,0.27538776440107554,0.08929877544748487,0.18608898895359066
Food services and accommodation,0.012923739966447089,0.21608395783314113,0.20316021786669405,0.06249935411914196,0.1406608637475521
"Computing machinery, electronic equipment and optical instruments",0.02651565165784608,0.19198290460427184,0.16546725294642575,0.09273503759737585,0.0727322153490499
Manufacturing services and repair services of industrial equipment,0.023792944126410955,0.17906115998928865,0.1552682158628777,0.05839128346872988,0.09687693239414782
Other services,0.006096541043434181,0.16537958409802742,0.15928304305459323,0.06207771950235082,0.09720532355224241
Health and social care services,0.00887658756376131,0.13567316280056216,0.12679657523680085,0.046221516180213744,0.0805750590565871
Wholesale and retail trade and commodity brokerage services,0.004683724445417983,0.13558873845722783,0.13090501401180984,0.04699510398490111,0.08390991002690873
"Professional, scientific, and technical services",0.005982694854481414,0.12992399553128808,0.12394130067680667,0.0668671049828499,0.057074195693956775
"Art, sports, and leisure services",0.007531410555085605,0.1287120732373777,0.1211806626822921,0.062321602184323234,0.05885906049796887
Education services,0.015841408060273822,0.124284898642195,0.10844349058192118,0.0646247341200677,0.043818756461853486
"Public administration, defense, and social security services",0.03284399689962983,0.10569959120220317,0.07285559430257334,0.02675704349725294,0.046098550805320396
Business support services,0.0011311681738190374,0.08662877245762698,0.08549760428380795,0.02861123064020724,0.05688637364360072
Communications and broadcasting,0.0004841848673249476,0.06467903493689811,0.06419485006957316,0.031210209109402483,0.03298464096017068
Real estate services,0.0008994384793871066,0.05258959857219412,0.05169016009280701,0.02536127613487073,0.02632888395793628
Finance and insurance,0.0006363639934418103,0.04282357761441039,0.04218721362096858,0.02276467897891026,0.019422534642058325
